Sexo;Categoria;Tempo Final;Ritmo;Distancia
Masculino;5K-GM;0:15:56.07;03:11;5
Masculino;5K-GM;0:15:57.92;03:11;5
Masculino;5K-GM;0:16:08.06;03:14;5
Masculino;5K-GM;0:16:14.83;03:15;5
Masculino;5K-GM;0:16:30.94;03:18;5
Masculino;55-59;0:16:43.72;03:20;5
Masculino;35-39;0:16:48.59;03:22;5
Masculino;35-39;0:16:49.03;03:22;5
Masculino;25-34;0:16:59.52;03:24;5
Masculino;35-39;0:17:08.01;03:26;5
Masculino;35-39;0:17:21.81;03:28;5
Masculino;35-39;0:17:36.43;03:31;5
Masculino;40-44;0:17:42.85;03:32;5
Masculino;18-24;0:17:49.21;03:34;5
Masculino;25-34;0:17:51.72;03:34;5
Feminino;5K-GF;0:17:54.09;03:35;5
Masculino;25-34;0:18:07.25;03:37;5
Masculino;25-34;0:18:07.70;03:37;5
Masculino;40-44;0:18:43.90;03:44;5
Masculino;25-34;0:18:45.71;03:45;5
Masculino;40-44;0:18:51.43;03:46;5
Masculino;35-39;0:19:00.93;03:48;5
Feminino;5K-GF;0:19:11.54;03:50;5
Masculino;18-24;0:19:11.59;03:50;5
Masculino;45-49;0:19:22.17;03:52;5
Masculino;18-24;0:19:24.65;03:53;5
Masculino;35-39;0:21:52.87;04:22;5
Masculino;40-44;0:22:01.70;04:24;5
Masculino;50-54;0:22:15.24;04:27;5
Masculino;25-34;0:22:18.05;04:28;5
Masculino;25-34;0:22:20.91;04:28;5
Masculino;18-24;0:22:22.81;04:28;5
Masculino;25-34;0:22:23.12;04:29;5
Masculino;25-34;0:22:25.43;04:29;5
Masculino;55-59;0:22:33.01;04:31;5
Feminino;5K-GF;0:22:36.19;04:31;5
Masculino;25-34;0:22:36.30;04:31;5
Masculino;40-44;0:22:44.33;04:33;5
Masculino;45-49;0:22:45.95;04:33;5
Masculino;40-44;0:22:47.83;04:34;5
Masculino;55-59;0:22:50.35;04:34;5
Feminino;5K-GF;0:22:50.87;04:34;5
Masculino;18-24;0:22:51.79;04:34;5
Masculino;25-34;0:22:52.58;04:34;5
Masculino;25-34;0:22:54.82;04:35;5
